MeastID,Ply,Course,U-Roller,U-Sensor,U-TowChangeProgramed,TowPresentBitmap,GapPresentBitmap,ProfileID,Notes,X,Y,Z,C,n1,n2,n3,j1,j2,j3,j4,j5,j6
1,3,26,0.001,-1.437,0,0,0,283656,,6.434,-21.966,125.806,0,1,0,0,0,0,0,0,0,0
2,3,26,0.0041924,-1.434,0,0,0,283657,,6.434,-21.966,125.803,0,1,0,0,0,0,0,0,0,0
3,3,26,0.0057826,-1.432,0,0,0,283658,,6.434,-21.966,125.801,0,1,0,0,0,0,0,0,0,0
4,3,26,0.0080808,-1.43,0,0,0,283659,,6.434,-21.966,125.799,0,1,0,0,0,0,0,0,0,0
5,3,26,0.011447,-1.427,0,0,0,283660,,6.434,-21.966,125.796,0,1,0,0,0,0,0,0,0,0
6,3,26,0.015407,-1.423,0,0,0,283661,,6.434,-21.966,125.792,0,1,0,0,0,0,0,0,0,0
7,3,26,0.0195292,-1.418,0,0,0,283662,,6.434,-21.966,125.787,0,1,0,0,0,0,0,0,0,0
8,3,26,0.0251362,-1.413,0,0,0,283663,,6.434,-21.966,125.782,0,1,0,0,0,0,0,0,0,0
9,3,26,0.03203,-1.406,0,0,0,283664,,6.434,-21.966,125.775,0,1,0,0,0,0,0,0,0,0
10,3,26,0.039627,-1.398,0,0,0,283665,,6.434,-21.966,125.767,0,1,0,0,0,0,0,0,0,0
11,3,26,0.0480828,-1.39,0,0,0,283666,,6.434,-21.966,125.759,0,1,0,0,0,0,0,0,0,0
12,3,26,0.0578022,-1.38,0,0,0,283667,,6.434,-21.966,125.749,0,1,0,0,0,0,0,0,0,0
13,3,26,0.0688902,-1.369,0,0,0,283668,,6.434,-21.966,125.738,0,1,0,0,0,0,0,0,0,0
14,3,26,0.0812816,-1.357,0,0,0,283669,,6.434,-21.966,125.726,0,1,0,0,0,0,0,0,0,0
15,3,26,0.094911,-1.343,0,0,0,283670,,6.434,-21.966,125.712,0,1,0,0,0,0,0,0,0,0
16,3,26,0.1095201,-1.328,0,0,0,283671,,6.434,-21.966,125.697,0,1,0,0,0,0,0,0,0,0
17,3,26,0.1246842,-1.313,0,0,0,283672,,6.434,-21.966,125.682,0,1,0,0,0,0,0,0,0,0
18,3,26,0.1421104,-1.296,0,0,0,283673,,6.434,-21.966,125.665,0,1,0,0,0,0,0,0,0,0
19,3,26,0.0026042,-1.435,0,0,0,283674,,6.434,-21.966,125.804,0,1,0,0,0,0,0,0,0,0
20,3,26,0.0015087,-1.436,0,0,0,283675,,6.434,-21.966,125.805,0,1,0,0,0,0,0,0,0,0
21,3,26,0.1609136,-1.277,0,0,0,283676,,6.434,-21.966,125.646,0,1,0,0,0,0,0,0,0,0
22,3,26,0.180475,-1.258,0,0,0,283677,,6.434,-21.966,125.627,0,1,0,0,0,0,0,0,0,0
23,3,26,0.2009276,-1.237,0,0,0,283678,,6.434,-21.966,125.606,0,1,0,0,0,0,0,0,0,0
24,3,26,0.2231102,-1.215,0,0,0,283679,,6.434,-21.966,125.584,0,1,0,0,0,0,0,0,0,0
25,3,26,0.246374,-1.192,0,0,0,283680,,6.434,-21.966,125.561,0,1,0,0,0,0,0,0,0,0
26,3,26,0.2706062,-1.167,0,0,0,283681,,6.434,-21.966,125.536,0,1,0,0,0,0,0,0,0,0
27,3,26,0.2959459,-1.142,0,0,0,283682,,6.434,-21.966,125.511,0,1,0,0,0,0,0,0,0,0
28,3,26,0.3223818,-1.116,0,0,0,283683,,6.434,-21.966,125.485,0,1,0,0,0,0,0,0,0,0
29,3,26,0.3496158,-1.088,0,0,0,283684,,6.434,-21.966,125.457,0,1,0,0,0,0,0,0,0,0
30,3,26,0.3772965,-1.061,0,0,0,283685,,6.434,-21.966,125.43,0,1,0,0,0,0,0,0,0,0
31,3,26,0.4061751,-1.032,0,0,0,283686,,6.434,-21.966,125.401,0,1,0,0,0,0,0,0,0,0
32,3,26,0.4357011,-1.002,0,0,0,283687,,6.434,-21.966,125.371,0,1,0,0,0,0,0,0,0,0
33,3,26,0.4655988,-0.972,0,0,0,283688,,6.434,-21.966,125.341,0,1,0,0,0,0,0,0,0,0
34,3,26,0.4964478,-0.942,0,0,0,283689,,6.434,-21.966,125.311,0,1,0,0,0,0,0,0,0,0
35,3,26,0.527718,-0.91,0,0,0,283690,,6.434,-21.966,125.279,0,1,0,0,0,0,0,0,0,0
36,3,26,0.559268,-0.879,0,0,0,283691,,6.434,-21.967,125.248,0,1,0,0,0,0,0,0,0,0
37,3,26,0.590948,-0.847,0,0,0,283692,,6.434,-21.967,125.216,0,1,0,0,0,0,0,0,0,0
38,3,26,0.62268,-0.815,0,0,0,283693,,6.434,-21.967,125.184,0,1,0,0,0,0,0,0,0,0
39,3,26,0.65436,-0.784,0,0,0,283694,,6.434,-21.967,125.153,0,1,0,0,0,0,0,0,0,0
40,3,26,0.686372,-0.752,0,0,0,283695,,6.434,-21.967,125.121,0,1,0,0,0,0,0,0,0,0
41,3,26,0.718144,-0.72,0,0,0,283696,,6.434,-21.967,125.089,0,1,0,0,0,0,0,0,0,0
