ProfileID,MeastID,U-Sensor,GapPresentBits_Gap3233toGap0001,meast_idx
283718,63,0.036,000000000111111111111111000000000,62
283719,64,0.08,000000000111111111111111000000000,63
283720,65,0.124,000000000111111111111111000000000,64
283721,66,0.169,000000000111111111111111000000000,65
283722,67,0.215,000000000111111111111111000000000,66
283723,68,0.262,000000000111111111111111000000000,67
283724,69,0.311,000000000111111111111111000000000,68
283725,70,0.362,000000000111111111111111000000000,69
283726,71,0.413,000000000111111111111111000000000,70
283727,72,0.466,000000000111111111111111000000000,71
283728,73,0.519,000000000111111111111111000000000,72
283729,74,0.574,000000000111111111111111000000000,73
283730,75,0.63,000000000111111111111111000000000,74
283731,76,0.687,000000000111111111111111000000000,75
283732,77,0.745,000000000111111111111111000000000,76
283733,78,0.804,000000000111111111111111000000000,77
283734,79,0.863,000000000111111111111111000000000,78
283735,80,0.924,000000000111111111111111000000000,79
283736,81,0.986,000000000111111111111111000000000,80
283737,82,1.047,000000000111111111111111000000000,81
283738,83,1.11,000000000111111111111111000000000,82
283739,84,1.173,000000000111111111111111000000000,83
283740,85,1.236,000000000111111111111111000000000,84
283741,86,1.3,000000000111111111111111000000000,85
283742,87,1.364,000000000111111111111111000000000,86
283743,88,1.427,000000000111111111111111000000000,87
283744,89,1.49,000000000111111111111111000000000,88
283745,90,1.554,000000000111111111111111000000000,89
283746,91,1.617,000000000111111111111111000000000,90
283747,92,1.681,000000000111111111111111000000000,91
283748,93,1.744,000000000111111111111111000000000,92
283749,94,1.808,000000000111111111111111000000000,93
283750,95,1.872,000000000111111111111111000000000,94
283751,96,1.936,000000000111111111111111000000000,95
283752,97,1.999,000000000111111111111111000000000,96
283753,98,2.063,000000000111111111111111000000000,97
283754,99,2.127,000000000111111111111111000000000,98
283755,100,2.19,000000000111111111111111000000000,99
283756,101,2.254,000000000111111111111111000000000,100
283757,102,2.317,000000000111111111111111000000000,101
283758,103,2.381,000000000111111111111111000000000,102
283759,104,2.445,000000000111111111111111000000000,103
283760,105,2.509,000000000111111111111111000000000,104
283761,106,2.572,000000000111111111111111000000000,105
283762,107,2.636,000000000111111111111111000000000,106
283763,108,2.699,000000000111111111111111000000000,107
283764,109,2.763,000000000111111111111111000000000,108
283765,110,2.827,000000000111111111111111000000000,109
283766,111,2.891,000000000111111111111111000000000,110
283767,112,2.954,000000000111111111111111000000000,111
283768,113,3.017,000000000111111111111111000000000,112
283769,114,3.081,000000000111111111111111000000000,113
283770,115,3.145,000000000111111111111111000000000,114
283771,116,3.208,000000000111111111111111000000000,115
283772,117,3.272,000000000111111111111111000000000,116
283773,118,3.336,000000000111111111111111000000000,117
283774,119,3.4,000000000111111111111111000000000,118
283775,120,3.464,000000000111111111111111000000000,119
283776,121,3.527,000000000111111111111111000000000,120
283777,122,3.59,000000000111111111111111000000000,121
283778,123,3.654,000000000111111111111111000000000,122
283779,124,3.717,000000000111111111111111000000000,123
283780,125,3.78,000000000111111111111111000000000,124
283781,126,3.844,000000000111111111111111000000000,125
283782,127,3.908,000000000111111111111111000000000,126
283783,128,3.971,000000000111111111111111000000000,127
283784,129,4.035,000000000111111111111111000000000,128
283785,130,4.099,000000000111111111111111000000000,129
283786,131,4.163,000000000111111111111111000000000,130
283787,132,4.227,000000000111111111111111000000000,131
283788,133,4.29,000000000111111111111111000000000,132
283789,134,4.354,000000000111111111111111000000000,133
283790,135,4.417,000000000111111111111111000000000,134
283791,136,4.481,000000000111111111111111000000000,135
283792,137,4.545,000000000111111111111111000000000,136
283793,138,4.608,000000000111111111111111000000000,137
283794,139,4.672,000000000111111111111111000000000,138
283795,140,4.736,000000000111111111111111000000000,139
283796,141,4.799,000000000111111111111111000000000,140
283797,142,4.863,000000000111111111111111000000000,141
283798,143,4.926,000000000111111111111111000000000,142
283799,144,4.99,000000000111111111111111000000000,143
283831,176,7.025,000000000111111111111111000000000,175
283832,177,7.089,000000000111111111111111000000000,176
283833,178,7.153,000000000111111111111111000000000,177
283834,179,7.216,000000000111111111111111000000000,178
283835,180,7.28,000000000111111111111111000000000,179
283836,181,7.344,000000000111111111111111000000000,180
283837,182,7.407,000000000111111111111111000000000,181
283838,183,7.471,000000000111111111111111000000000,182
283839,184,7.534,000000000111111111111111000000000,183
283840,185,7.598,000000000111111111111111000000000,184
283841,186,7.662,000000000111111111111111000000000,185
283842,187,7.725,000000000111111111111111000000000,186
283843,188,7.789,000000000111111111111111000000000,187
283844,189,7.853,000000000111111111111111000000000,188
283845,190,7.916,000000000111111111111111000000000,189
283846,191,7.981,000000000111111111111111000000000,190
283847,192,8.044,000000000111111111111111000000000,191
283848,193,8.108,000000000111111111111111000000000,192
283849,194,8.171,000000000111111111111111000000000,193
283850,195,8.236,000000000111111111111111000000000,194
283851,196,8.299,000000000111111111111111000000000,195
283852,197,8.362,000000000111111111111111000000000,196
283853,198,8.426,000000000111111111111111000000000,197
283854,199,8.49,000000000111111111111111000000000,198
283855,200,8.553,000000000111111111111111000000000,199
283856,201,8.617,000000000111111111111111000000000,200
283857,202,8.681,000000000111111111111111000000000,201
283858,203,8.744,000000000111111111111111000000000,202
283859,204,8.808,000000000111111111111111000000000,203
283860,205,8.872,000000000111111111111111000000000,204
283861,206,8.935,000000000111111111111111000000000,205
283862,207,8.999,000000000111111111111111000000000,206
283863,208,9.062,000000000111111111111111000000000,207
283864,209,9.126,000000000111111111111111000000000,208
283865,210,9.19,000000000111111111111111000000000,209
283866,211,9.253,000000000111111111111111000000000,210
283867,212,9.317,000000000111111111111111000000000,211
283868,213,9.38,000000000111111111111111000000000,212
283869,214,9.443,000000000111111111111111000000000,213
283870,215,9.507,000000000111111111111111000000000,214
283871,216,9.571,000000000111111111111111000000000,215
283872,217,9.634,000000000111111111111111000000000,216
283873,218,9.698,000000000111111111111111000000000,217
283874,219,9.762,000000000111111111111111000000000,218
283875,220,9.825,000000000111111111111111000000000,219
283876,221,9.889,000000000111111111111111000000000,220
283877,222,9.953,000000000111111111111111000000000,221
283878,223,10.016,000000000111111111111111000000000,222
283879,224,10.08,000000000111111111111111000000000,223
283880,225,10.143,000000000111111111111111000000000,224
283881,226,10.207,000000000111111111111111000000000,225
283882,227,10.271,000000000111111111111111000000000,226
283883,228,10.334,000000000111111111111111000000000,227
283884,229,10.398,000000000111111111111111000000000,228
283885,230,10.462,000000000111111111111111000000000,229
283886,231,10.525,000000000111111111111111000000000,230
283887,232,10.589,000000000111111111111111000000000,231
283888,233,10.652,000000000111111111111111000000000,232
283889,234,10.717,000000000111111111111111000000000,233
283890,235,10.78,000000000111111111111111000000000,234
283891,236,10.844,000000000111111111111111000000000,235
283892,237,10.908,000000000111111111111111000000000,236
283893,238,10.972,000000000111111111111111000000000,237
283894,239,11.035,000000000111111111111111000000000,238
283895,240,11.099,000000000111111111111111000000000,239
283896,241,11.162,000000000111111111111111000000000,240
283897,242,11.226,000000000111111111111111000000000,241
283898,243,11.289,000000000111111111111111000000000,242
283899,244,11.353,000000000111111111111111000000000,243
283900,245,11.417,000000000111111111111111000000000,244
283901,246,11.48,000000000111111111111111000000000,245
283902,247,11.544,000000000111111111111111000000000,246
283903,248,11.608,000000000111111111111111000000000,247
283904,249,11.671,000000000111111111111111000000000,248
283905,250,11.735,000000000111111111111111000000000,249
283906,251,11.798,000000000111111111111111000000000,250
283907,252,11.861,000000000111111111111111000000000,251
283908,253,11.925,000000000111111111111111000000000,252
283909,254,11.989,000000000111111111111111000000000,253
283941,286,14.025,000000000111111111111111000000000,285
283942,287,14.088,000000000111111111111111000000000,286
283943,288,14.152,000000000111111111111111000000000,287
283944,289,14.216,000000000111111111111111000000000,288
283945,290,14.28,000000000111111111111111000000000,289
283946,291,14.343,000000000111111111111111000000000,290
283947,292,14.407,000000000111111111111111000000000,291
283948,293,14.47,000000000111111111111111000000000,292
283949,294,14.534,000000000111111111111111000000000,293
283950,295,14.597,000000000111111111111111000000000,294
283951,296,14.661,000000000111111111111111000000000,295
283952,297,14.725,000000000111111111111111000000000,296
283953,298,14.789,000000000111111111111111000000000,297
283954,299,14.852,000000000111111111111111000000000,298
283955,300,14.917,000000000111111111111111000000000,299
283956,301,14.98,000000000111111111111111000000000,300
283957,302,15.043,000000000111111111111111000000000,301
283958,303,15.107,000000000111111111111111000000000,302
283959,304,15.17,000000000111111111111111000000000,303
283960,305,15.234,000000000111111111111111000000000,304
283961,306,15.297,000000000111111111111111000000000,305
283962,307,15.361,000000000111111111111111000000000,306
283963,308,15.425,000000000111111111111111000000000,307
