ProfileID,MeastID,U-Sensor,U-TowChangeProgramed,TowPresentBits_Tow32toTow01,meast_idx,t32d,t31d,t30d,t29d,t28d,t27d,t26d,t25d,t24d,t23d,t22d,t21d,t20d,t19d,t18d,t17d,t16d,t15d,t14d,t13d,t12d,t11d,t10d,t09d,t08d,t07d,t06d,t05d,t04d,t03d,t02d,t01d
283718,63,0.036,0.0,00000000111111111111111100000000,62,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
283800,145,5.053,5.0,00000000000000000000000000000000,144,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
283831,176,7.025,7.0,00000000111111111111111100000000,175,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
283910,255,12.053,12.0,00000000000000000000000000000000,254,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
283941,286,14.025,14.0,00000000111111111111111100000000,285,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
284021,366,19.116,19.059,00000000111111111111111000000000,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
284023,368,19.242,19.184,00000000111111111111110000000000,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
284025,370,19.37,19.309,00000000111111111111100000000000,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
284027,372,19.497,19.438,00000000111111111111000000000000,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
284028,373,19.561,19.559,00000000111111111110000000000000,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
284030,375,19.689,19.685,00000000111111111100000000000000,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
284032,377,19.816,19.81,00000000111111111000000000000000,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284034,379,19.943,19.935,00000000111111110000000000000000,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284036,381,20.07,20.06,00000000111111100000000000000000,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284038,383,20.198,20.185,00000000111111000000000000000000,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284040,385,20.325,20.31,00000000111110000000000000000000,384,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284042,387,20.452,20.435,00000000111100000000000000000000,386,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284044,389,20.58,20.56,00000000111000000000000000000000,388,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284046,391,20.707,20.685,00000000110000000000000000000000,390,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284048,393,20.834,20.81,00000000100000000000000000000000,392,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284050,395,20.961,20.935,00000000000000000000000000000000,394,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284083,428,23.061,23.06,00000000000000000000000100000000,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
284085,430,23.189,23.185,00000000000000000000001100000000,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
284087,432,23.315,23.31,00000000000000000000011100000000,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
284089,434,23.443,23.435,00000000000000000000111100000000,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
284091,436,23.57,23.56,00000000000000000001111100000000,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
284093,438,23.697,23.685,00000000000000000011111100000000,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
284095,440,23.824,23.81,00000000000000000111111100000000,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284097,442,23.951,23.935,00000000000000001111111100000000,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284099,444,24.079,24.06,00000000000000011111111100000000,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284101,446,24.206,24.185,00000000000000111111111100000000,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284103,448,24.333,24.31,00000000000001111111111100000000,447,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
